strategy,pca_dims,tsne_perplexity,algo,k_or_mcs,min_samples,n_clusters_raw,n_clusters,noise_pct,mean_weighted_d,cluster_count_factor,entropy_factor,min_step_entropy,min_agent_entropy,composite_score,passes_verification
tsne3d_hdbscan,20,75,hdbscan,800,3,3,2,26.51601830663616,0.11512305749279442,1.0,0.9096344365155751,0.8759897421701274,0.9293372165362934,0.07695235033202422,False
tsne3d_hdbscan,20,100,hdbscan,100,5,24,13,48.93211289092296,1.6944987866264833,0.1,0.8510785913020377,0.2925911484328023,0.9399814600166696,0.07364763716024872,False
tsne3d_hdbscan,20,100,hdbscan,200,3,15,14,38.34858886346301,1.3126021254878675,0.1,0.8736505283892759,0.23406493401435471,0.9309323929642983,0.07069909730030456,False
tsne3d_hdbscan,20,100,hdbscan,800,5,3,2,38.92067124332571,0.12635549568866344,1.0,0.9053350054817879,0.8626609276893868,0.9318383770738752,0.06987111994324682,False
tsne3d_hdbscan,20,50,hdbscan,200,10,17,16,48.91304347826087,1.5580712781219428,0.1,0.8691967652999829,0.2246672352299409,0.9338163663797553,0.06918555892105319,False
tsne3d_hdbscan,20,125,hdbscan,200,3,12,11,41.41876430205949,1.2284194422494372,0.1,0.8779298999872803,0.2132456006555656,0.9337572313856765,0.06317788019853059,False
tsne3d_hdbscan,20,75,hdbscan,200,10,15,13,49.38024408848207,1.4127690505003843,0.1,0.8696444724169605,0.21398696872998907,0.9346194963551621,0.06219177610295609,False
tsne3d_hdbscan,20,150,hdbscan,200,3,13,12,44.40312738367658,1.2330483860418724,0.1,0.8703077218285722,0.2375497393865274,0.9300872337247484,0.05966275707184854,False
tsne3d_hdbscan,20,150,hdbscan,200,10,12,11,53.00343249427918,1.348130340922229,0.1,0.8662255138705177,0.2344452546238253,0.9313825257626749,0.054881881759520926,False
tsne3d_hdbscan,20,50,hdbscan,50,10,3,1,8.114035087719298,0.033197039269413024,0.0,0.9066337391202867,0.8714122801260513,0.941855198114522,0.0,False
tsne3d_hdbscan,20,50,hdbscan,100,10,3,1,8.114035087719298,0.033197039269413024,0.0,0.9066337391202867,0.8714122801260513,0.941855198114522,0.0,False
tsne3d_hdbscan,20,75,hdbscan,800,25,0,0,100.0,0.0,0.0,0.0,,,0.0,False
tsne3d_hdbscan,20,100,hdbscan,800,25,0,0,100.0,0.0,0.0,0.0,,,0.0,False
tsne3d_hdbscan,20,125,hdbscan,50,5,3,1,6.435926773455377,0.027414589155249868,0.0,0.9078407189567697,0.8732871564535215,0.9423942814600178,0.0,False
tsne3d_hdbscan,20,125,hdbscan,800,25,0,0,100.0,0.0,0.0,0.0,,,0.0,False
